date,mean,mean_se,mean_ci_lower,mean_ci_upper
1961-01-01,447.1900915093793,12.058062411909342,423.5567234587008,470.82345956005776
1961-02-01,422.05020356381556,14.599010346677568,393.4366690743999,450.6637380532312
1961-03-01,453.85286018545384,16.75903747460744,421.00575031966616,486.6999700512415
1961-04-01,489.9737358910795,18.67082138118712,453.37959842217236,526.5678733599866
1961-05-01,502.3080800272232,20.40425948230153,462.3164663107023,542.2996937437441
1961-06-01,564.3161638733451,22.001546286431545,521.1939255477483,607.4384021989418
1961-07-01,649.8102594630395,23.49047196134823,603.769780438949,695.85073848713
1961-08-01,636.8605907732917,24.89049029126958,588.0761262448594,685.645055301724
1961-09-01,539.0782116684131,26.21584904046945,487.69609172495404,590.4603316118722
1961-10-01,491.19095042752394,27.47735385523105,437.3363264808083,545.0455743742397
1961-11-01,423.07049802561164,28.683430911564233,366.85200648590285,479.28898956532043
1961-12-01,464.9874724919257,29.840801645254302,406.50057599742365,523.4743689864277
1962-01-01,479.9319311793108,35.34098762373622,410.66486825871203,549.1989940999096
1962-02-01,454.7920432337471,38.605162767572814,379.1273145919978,530.4567718754964
1962-03-01,486.59469985538544,41.6140814917319,405.0325988818761,568.1568008288948
1962-04-01,522.7155755610111,44.41964615449134,435.65466889219493,609.7764822298273
1962-05-01,535.0499196971548,47.0582421110259,442.8174599837779,627.2823794105317
1962-06-01,597.0580035432768,49.556546859821104,499.9289564998559,694.1870505866976
1962-07-01,682.5520991329712,51.9348103179299,580.7617413659094,784.342456900033
1962-08-01,669.6024304432234,54.208834232522214,563.3550677035779,775.8497931828689
1962-09-01,571.8200513383448,56.39123065635991,461.2952702079884,682.3448324687013
1962-10-01,523.9327900974556,58.492256590325695,409.29007380594163,638.5755063889696
1962-11-01,455.8123376955433,60.52038720231566,337.1945584485858,574.4301169425008
1962-12-01,497.7293121618573,62.48272123721884,375.2654288808524,620.1931954428622
